Train_Size,Train_Mean_Accuracy,Train_Std_Accuracy,Val_Mean_Accuracy,Val_Std_Accuracy
2400,0.8575833333333334,0.000666666666666682,0.8537666666666667,0.0017016332024133655
4800,0.8629166666666667,0.0012499999999999734,0.8582333333333334,0.001416568624058376
7200,0.8638333333333333,0.0019751543149590183,0.8601666666666666,0.0020221001184137456
9600,0.8641249999999999,0.001049139859334528,0.8625,0.0012156388352540252
12000,0.8654333333333334,0.0006633249580710816,0.8629333333333333,0.001857716639079017
14400,0.8654722222222222,0.0009058707699511204,0.8635333333333334,0.0019304576314093705
16800,0.865654761904762,0.0006070261325705761,0.8638666666666668,0.0017074997966487618
19200,0.8651041666666666,0.0011301003212596087,0.8641333333333334,0.002045048220023731
21600,0.865175925925926,0.0009074074074074277,0.8646666666666667,0.0020000000000000035
24000,0.8660583333333334,0.0006093028803477071,0.8644000000000001,0.0018577166390790494
