Dataset,Accuracy,Loss,Model,Classification,Model_Type
Training,0.8664666666666667,0.3066718539708514,8-class Logistic,8-class,Logistic
Validation,0.8659,0.3305428384422754,8-class Logistic,8-class,Logistic
Test,0.8641,0.3224378833353851,8-class Logistic,8-class,Logistic
Training,0.9995,0.0050946769318255,8-class XGBoost,8-class,XGBoost
Validation,0.9921,0.0236253291529033,8-class XGBoost,8-class,XGBoost
Test,0.9912,0.0234353916408479,8-class XGBoost,8-class,XGBoost
Training,0.9769333333333332,0.275389678115593,8-class RandomForest,8-class,RandomForest
Validation,0.9702,0.2827807797021495,8-class RandomForest,8-class,RandomForest
Test,0.9742,0.2804032688453289,8-class RandomForest,8-class,RandomForest
Training,0.7226333333333333,0.3514299278561872,8-class SVM,8-class,SVM
Validation,0.7138,0.3697442122642948,8-class SVM,8-class,SVM
Test,0.7092,0.3742361369706872,8-class SVM,8-class,SVM
Training,0.9949,0.0138773801303448,8-class LSTM,8-class,LSTM
Validation,0.9882,0.0386895460087327,8-class LSTM,8-class,LSTM
Test,0.9881,0.0411415231402649,8-class LSTM,8-class,LSTM
Training,0.9906666666666668,0.0228119318215733,8-class CNN-LSTM,8-class,CNN-LSTM
Validation,0.9864,0.0402209273192442,8-class CNN-LSTM,8-class,CNN-LSTM
Test,0.9869,0.0418085249374129,8-class CNN-LSTM,8-class,CNN-LSTM
Training,0.9850333333333332,0.0403641548653896,4-class Logistic,4-class,Logistic
Validation,0.9847,0.0467042150402882,4-class Logistic,4-class,Logistic
Test,0.9818,0.052033025385822,4-class Logistic,4-class,Logistic
Training,0.9986666666666668,0.0069091820957312,4-class XGBoost,4-class,XGBoost
Validation,0.9924,0.0199349037998672,4-class XGBoost,4-class,XGBoost
Test,0.9905,0.0219037927813699,4-class XGBoost,4-class,XGBoost
Training,0.9967,0.0215011601762807,4-class RandomForest,4-class,RandomForest
Validation,0.989,0.0348532130914236,4-class RandomForest,4-class,RandomForest
Test,0.9875,0.0355366778441736,4-class RandomForest,4-class,RandomForest
Training,0.9976,0.0112586099112958,4-class SVM,4-class,SVM
Validation,0.9906,0.023689786260908,4-class SVM,4-class,SVM
Test,0.9877,0.0278313623271888,4-class SVM,4-class,SVM
Training,0.9938333333333332,0.016042105317299,4-class LSTM,4-class,LSTM
Validation,0.9924,0.0204586834358053,4-class LSTM,4-class,LSTM
Test,0.9897,0.0238597228878066,4-class LSTM,4-class,LSTM
Training,0.9932666666666666,0.0167806333501695,4-class CNN-LSTM,4-class,CNN-LSTM
Validation,0.9921,0.0216774394139782,4-class CNN-LSTM,4-class,CNN-LSTM
Test,0.9899,0.0232341646829624,4-class CNN-LSTM,4-class,CNN-LSTM
Training,0.9888,0.0242107724042181,2-class Logistic,2-class,Logistic
Validation,0.9884,0.02986528957863,2-class Logistic,2-class,Logistic
Test,0.9875,0.0249645523654378,2-class Logistic,2-class,Logistic
Training,0.9971666666666666,0.0086866222791243,2-class XGBoost,2-class,XGBoost
Validation,0.9922,0.0168966349722908,2-class XGBoost,2-class,XGBoost
Test,0.9937,0.0149972404209968,2-class XGBoost,2-class,XGBoost
Training,0.9934666666666668,0.0189679443102576,2-class RandomForest,2-class,RandomForest
Validation,0.9917,0.0205368836117495,2-class RandomForest,2-class,RandomForest
Test,0.9916,0.020792962041284,2-class RandomForest,2-class,RandomForest
Training,0.9957,0.0130578587659648,2-class SVM,2-class,SVM
Validation,0.9924,0.0218776200357051,2-class SVM,2-class,SVM
Test,0.9924,0.0242772312297155,2-class SVM,2-class,SVM
Training,0.9920666666666668,0.0184920033288414,2-class LSTM,2-class,LSTM
Validation,0.9903,0.0215829103535444,2-class LSTM,2-class,LSTM
Test,0.9912,0.0195326417363881,2-class LSTM,2-class,LSTM
Training,0.9944,0.0131593480378188,2-class CNN-LSTM,2-class,CNN-LSTM
Validation,0.9929,0.0173276980024764,2-class CNN-LSTM,2-class,CNN-LSTM
Test,0.9935,0.0155258593060753,2-class CNN-LSTM,2-class,CNN-LSTM
